,symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference,t_date,open,adj_close,intraday_return
0,CASTROLIND,Record Date,01022024203127,https://nsearchives.nseindia.com/corporate/CASTROLIND_01022024203127_outcome.pdf,Castrol India Limited,INE172A01027,2024-02-01 20:31:27,2024-02-01 20:31:27,,,,Castrol India Limited has informed the Exchange that Record date for the purpose of Dividend  is 21-Mar-2024.,,,,01-Feb-2024 20:31:33,00:00:06,2024-02-02 20:31:27,196.75,198.4,0.8386277001270677
1,ORBTEXP,Record Date,01022024193233,https://nsearchives.nseindia.com/corporate/ORBTEXP_01022024193233_Intimationrecorddate.pdf,Orbit Exports Limited,INE231G01010,2024-02-01 19:32:33,2024-02-01 19:32:33,,,,Orbit Exports Limited has informed the Exchange that Record date for the purpose of Buyback  is 13-Feb-2024.,,,,01-Feb-2024 19:32:38,00:00:05,2024-02-02 19:32:33,200.0,199.75,-0.125
2,TNPL,Record Date,01022024192902,https://nsearchives.nseindia.com/corporate/TNPL_01022024192902_307thBMOutcome01022024CSDSC.pdf,Tamil Nadu Newsprint & Papers Limited,INE107A01015,2024-02-01 19:29:02,2024-02-01 19:29:02,,Paper And Paper Products,,Tamil Nadu Newsprint & Papers Limited has informed the Exchange that Record date for the purpose of Dividend  is 13-Feb-2024.,,,,01-Feb-2024 19:29:08,00:00:06,2024-02-02 19:29:02,298.0,293.7,-1.442953020134232
3,MINDACORP,Record Date,01022024190842,https://nsearchives.nseindia.com/corporate/MINDACORP_01022024190842_NSEBSE.pdf,Minda Corporation Limited,INE842C01013,2024-02-01 19:08:42,2024-02-01 19:08:42,,Auto Ancillaries,,Minda Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  is 14-Feb-2024.,,,,01-Feb-2024 19:08:47,00:00:05,2024-02-02 19:08:42,406.75,404.95,-0.4425322679778762
4,TORNTPOWER,Record Date,01022024190657,https://nsearchives.nseindia.com/corporate/TORNTPOWER_01022024190657_RDintimation.pdf,Torrent Power Limited,INE813H01021,2024-02-01 19:06:57,2024-02-01 19:06:57,,Power,,Torrent Power Limited has informed the Exchange that Record date for the purpose of Dividend  is 16-Feb-2024.,,,,01-Feb-2024 19:07:04,00:00:07,2024-02-02 19:06:57,1065.0,1064.3,-0.0657276995305207
5,APTUS,Record Date,01022024183754,https://nsearchives.nseindia.com/corporate/APTUS_01022024183754_AptusHFCResultsDec2023CSSD.pdf,Aptus Value Housing Finance India Limited,INE852O01025,2024-02-01 18:37:54,2024-02-01 18:37:54,,,,Aptus Value Housing Finance India Limited has informed the Exchange that Record date for the purpose of payment of  Dividend  is 09-Feb-2024.,,,,01-Feb-2024 18:37:59,00:00:05,2024-02-02 18:37:54,380.0,370.05,-2.618421052631576
6,ALKEM,Record Date,01022024173809,https://nsearchives.nseindia.com/corporate/ALKEM_01022024173809_AlkemNoticeofBMIntimationtoSEFeb24signed.pdf,Alkem Laboratories Limited,INE540L01014,2024-02-01 17:38:09,2024-02-01 17:38:09,,,,Alkem Laboratories Limited has informed the Exchange that Record date for the purpose of Dividend  is 17-Feb-2024.,,,,01-Feb-2024 17:38:19,00:00:10,2024-02-02 17:38:09,4875.0,4917.7,0.8758974358974322
14,STEELCAS,Record Date,31012024184811,https://nsearchives.nseindia.com/corporate/STEELCAS_31012024184811_RecordDateCoveringLetter.pdf,Steelcast Limited,INE124E01020,2024-01-31 18:48:11,2024-01-31 18:48:11,,,,Steelcast Limited has informed the Exchange that Record date for the purpose of Dividend  is 13-Feb-2024.,,,,31-Jan-2024 18:48:18,00:00:07,2024-02-01 18:48:11,675.05,689.75,2.1776164728538694
15,IRB,Record Date,31012024182632,https://nsearchives.nseindia.com/corporate/IRB_31012024182632_Outcome_of_BM_31012024.pdf,IRB Infrastructure Developers Limited,INE821I01014,2024-01-31 18:26:32,2024-01-31 18:26:32,,Construction,,IRB Infrastructure Developers Limited has informed the Exchange that Record date for the purpose of 2nd Interim Dividend for FY 2023-24 is 08-Feb-2024.,,,,31-Jan-2024 18:26:37,00:00:05,2024-02-01 18:26:32,68.8,65.01,-5.508720930232546
16,KOTARISUG,Record Date,31012024175027,https://nsearchives.nseindia.com/corporate/KOTARISUG_31012024175027_IntimationofRecorddate.pdf,Kothari Sugars And Chemicals Limited,INE419A01022,2024-01-31 17:50:27,2024-01-31 17:50:27,,Sugar,,"Kothari Sugars And Chemicals Limited has informed the Exchange that the Record Date for the purpose of Interim dividend, if declared, shall be Tuesday, 20th February 2024.",,,,31-Jan-2024 17:50:38,00:00:11,2024-02-01 17:50:27,59.3,57.1,-3.709949409780769
17,KOTHARIPET,Record Date,31012024173906,https://nsearchives.nseindia.com/corporate/KOTHARIPET_31012024173906_IntimationofRecordDate.pdf,Kothari Petrochemicals Limited,INE720A01015,2024-01-31 17:39:06,2024-01-31 17:39:06,,Trading,,"Kothari Petrochemicals Limited has informed the Exchange that Record Date for the purpose of Interim dividend, if declared, shall be 19-Feb-2024.",,,,31-Jan-2024 17:39:11,00:00:05,2024-02-01 17:39:06,151.0,152.6,1.0596026490066188
18,AJANTPHARM,Record Date,31012024171122,https://nsearchives.nseindia.com/corporate/AJANTPHARM_31012024171122_RecorddateIntimation.pdf,Ajanta Pharma Limited,INE031B01015,2024-01-31 17:11:22,2024-01-31 17:11:22,,Pharmaceuticals,,Ajanta Pharma Limited has informed the Exchange that Record date for the purpose of Dividend  is 08-Feb-2024.,,,,31-Jan-2024 17:11:30,00:00:08,2024-02-01 17:11:22,2300.0,2156.13,-6.255217391304343
19,GESHIP,Record Date,31012024162640,https://nsearchives.nseindia.com/corporate/GESHIP_31012024162640_coveringlettert.pdf,The Great Eastern Shipping Company Limited,INE017A01032,2024-01-31 16:26:40,2024-01-31 16:26:40,,Shipping,,The Great Eastern Shipping Company Limited has informed the Exchange that Record date for the purpose of Dividend  is 12-Feb-2024.,,,,31-Jan-2024 16:26:50,00:00:10,2024-02-01 16:26:40,979.95,987.7,0.7908566763610388
20,JKPAPER,Record Date,31012024153842,https://nsearchives.nseindia.com/corporate/JKPAPER_31012024153842_Intimation_dt_31_01_2024.pdf,JK Paper Limited,INE789E01012,2024-01-31 15:38:42,2024-01-31 15:38:42,,Paper And Paper Products,,JK Paper Limited has informed the Exchange that Record date for the purpose of Dividend  is 16-Feb-2024.,,,,31-Jan-2024 15:38:49,00:00:07,2024-02-01 15:38:42,440.0,429.95,-2.284090909090912
28,TRIVENI,Record Date,30012024215251,https://nsearchives.nseindia.com/corporate/TRIVENI_30012024215251_Outcome.pdf,Triveni Engineering & Industries Limited,INE256C01024,2024-01-30 21:52:51,2024-01-30 21:52:51,,Sugar,,Triveni Engineering & Industries Limited has informed the Exchange that Record date for the purpose of Interim Dividend for FY 2023-24  and Special Dividend is 09-Feb-2024.,,,,30-Jan-2024 21:52:56,00:00:05,2024-01-31 21:52:51,330.0,342.25,3.712121212121212
29,COCHINSHIP,Record Date,30012024192256,https://nsearchives.nseindia.com/corporate/COCHINSHIP_30012024192256_BM_Outcome_Sgd.pdf,Cochin Shipyard Limited,INE704P01017,2024-01-30 19:22:56,2024-01-30 19:22:56,,,,Cochin Shipyard Limited has informed the Exchange that Record date for the purpose of Dividend  is 12-Feb-2024.,,,,30-Jan-2024 19:23:06,00:00:10,2024-01-31 19:22:56,935.0,912.2,-2.4385026737967865
30,QUESS,Record Date,30012024190914,https://nsearchives.nseindia.com/corporate/QUESS_30012024190914_Dividend.pdf,Quess Corp Limited,INE615P01015,2024-01-30 19:09:14,2024-01-30 19:09:14,,,,"Quess Corp Limited has informed the Exchange that Record date for the purpose of Dividend  is 12-Feb-2024, if approved.",,,,30-Jan-2024 19:09:20,00:00:06,2024-01-31 19:09:14,492.8,504.25,2.32345779220779
31,SMCGLOBAL,Record Date,30012024185815,https://nsearchives.nseindia.com/corporate/SMCGLOBAL_30012024185815_RecordDateIntimation13022024.pdf,SMC Global Securities Limited,INE103C01036,2024-01-30 18:58:15,2024-01-30 18:58:15,,,,SMC Global Securities Limited has informed the Exchange that Record date for the purpose of Dividend  is 13-Feb-2024.,,,,30-Jan-2024 18:58:21,00:00:06,2024-01-31 18:58:15,109.1,109.7,0.5499541704858006
32,SHANTIGEAR,Record Date,30012024162705,https://nsearchives.nseindia.com/corporate/SHANTIGEAR_30012024162705_Outcome.pdf,Shanthi Gears Limited,INE631A01022,2024-01-30 16:27:05,2024-01-30 16:27:05,,Auto Ancillaries,,Shanthi Gears Limited has informed the Exchange that Record date for the purpose of Dividend  is 09-Feb-2024.,,,,30-Jan-2024 16:27:10,00:00:05,2024-01-31 16:27:05,534.4,546.65,2.292290419161677
33,IRCON,Record Date,30012024162008,https://nsearchives.nseindia.com/corporate/IRCON_30012024162008_INTIMATIONOFBOARDMEETING30012024.pdf,Ircon International Limited,INE962Y01013,2024-01-30 16:20:08,2024-01-30 16:20:08,,,,Ircon International Limited has informed the Exchange that Record date for the purpose of Interim Dividend for FY 2023-24 would be 16-Feb-2024.,,,,30-Jan-2024 16:20:14,00:00:06,2024-01-31 16:20:08,235.8,237.35,0.6573367260390088
34,JUBLINGREA,Record Date,30012024154756,https://nsearchives.nseindia.com/corporate/JUBLINGREA_30012024154756_DividendRecorddate.pdf,Jubilant Ingrevia Limited,INE0BY001018,2024-01-30 15:47:56,2024-01-30 15:47:56,,,,Jubilant Ingrevia Limited has informed the Exchange that Record date for the purpose of Dividend  is 09-Feb-2024.,,,,30-Jan-2024 15:48:02,00:00:06,2024-01-31 15:47:56,429.95,437.8,1.82579369694151
35,VIDHIING,Record Date,30012024153135,https://nsearchives.nseindia.com/corporate/VIDHIING_30012024153135_BMIntimation07022024.pdf,Vidhi Specialty Food Ingredients Limited,INE632C01026,2024-01-30 15:31:35,2024-01-30 15:31:35,,,,Vidhi Specialty Food Ingredients Limited has informed the Exchange that Record date for the purpose of Dividend  is 16-Feb-2024.,,,,30-Jan-2024 15:31:40,00:00:05,2024-01-31 15:31:35,410.25,409.85,-0.09750152346129853
40,ISFT,Record Date,29012024215649,https://nsearchives.nseindia.com/corporate/ISFT_29012024215649_NoticeOfEGMandRecordDateSE.pdf,Intrasoft Technologies Limited,INE566K01011,2024-01-29 21:56:49,2024-01-29 21:56:49,,Computers - Software,,Intrasoft Technologies Limited has informed the Exchange that Record date for the purpose of Meeting & Preferential Offer  is 13-Feb-2024.,,,,29-Jan-2024 21:56:54,00:00:05,2024-01-30 21:56:49,166.0,159.9,-3.6746987951807193
41,POWERGRID,Record Date,29012024194708,https://nsearchives.nseindia.com/corporate/POWERGRID_29012024194708_NSEBSE_BM_dt29012024.pdf,Power Grid Corporation of India Limited,INE752E01010,2024-01-29 19:47:08,2024-01-29 19:47:08,,Power,,Power Grid Corporation of India Limited has informed the Exchange that Record date for the purpose of Dividend  is 15-Feb-2024.,,,,29-Jan-2024 19:47:14,00:00:06,2024-01-30 19:47:08,254.0,254.1,0.039370078740155245
42,ITC,Record Date,29012024184633,https://nsearchives.nseindia.com/corporate/ITC_29012024184633_Dividend.pdf,ITC Limited,INE154A01025,2024-01-29 18:46:33,2024-01-29 18:46:33,,Cigarettes,,ITC Limited has informed the Exchange that Record date for the purpose of Dividend  is 08-Feb-2024.,,,,29-Jan-2024 18:46:43,00:00:10,2024-01-30 18:46:33,447.0,431.71,-3.420581655480989
43,IMPAL,Record Date,29012024175150,https://nsearchives.nseindia.com/corporate/IMPAL_29012024175150_IMPALOUTCOMEBM29012024sd.pdf,India Motor Parts and Accessories Limited,INE547E01014,2024-01-29 17:51:50,2024-01-29 17:51:50,,Auto Ancillaries,,India Motor Parts and Accessories Limited has informed the Exchange that Record date for the purpose of Interim Dividend is 08-Feb-2024.,,,,29-Jan-2024 17:51:56,00:00:06,2024-01-30 17:51:50,1170.0,1126.14,-3.7487179487179403
44,ADVANIHOTR,Record Date,29012024173348,https://nsearchives.nseindia.com/corporate/ADVANIHOTR_29012024173348_BMOutcome.pdf,Advani Hotels & Resorts (India) Limited,INE199C01026,2024-01-29 17:33:48,2024-01-29 17:33:48,,Hotels,,Advani Hotels & Resorts (India) Limited has informed the Exchange that Record date for the purpose of Dividend  is 09-Feb-2024.,,,,29-Jan-2024 17:33:58,00:00:10,2024-01-30 17:33:48,165.0,162.5,-1.5151515151515151
45,DOLATALGO,Record Date,29012024172636,https://nsearchives.nseindia.com/corporate/DOLATALGO_29012024172636_bm_outcome.pdf,Dolat Algotech Limited,INE966A01022,2024-01-29 17:26:36,2024-01-29 17:26:36,,,,Dolat Algotech Limited has informed the Exchange that Record date for the purpose of 2nd interim dividend for FY 2023-24 is 09-Feb-2024.,,,,29-Jan-2024 17:26:47,00:00:11,2024-01-30 17:26:36,68.0,73.9,8.676470588235302
46,CANFINHOME,Record Date,29012024155908,https://nsearchives.nseindia.com/corporate/CANFINHOME_29012024155908_CANFINHOMErecorddate09022024.pdf,Can Fin Homes Limited,INE477A01012,2024-01-29 15:59:08,2024-01-29 15:59:08,,Finance - Housing,,Can Fin Homes Limited has informed the Exchange that Record date for the purpose of  Interest payment due on 27/02/2024 for ISIN- INE477A07373  is 09-Feb-2024.,,,,29-Jan-2024 15:59:15,00:00:07,2024-01-30 15:59:08,767.9,764.35,-0.4622997786170015
47,CANFINHOME,Record Date,29012024154739,https://nsearchives.nseindia.com/corporate/CANFINHOME_29012024154739_CANFINHOMErecorddate09022024.pdf,Can Fin Homes Limited,INE477A01012,2024-01-29 15:47:39,2024-01-29 15:47:39,,Finance - Housing,,Can Fin Homes Limited has informed the Exchange that Record date for the purpose of Interest payment due on 26/02/2024 for ISIN- INE477A07316  is 09-Feb-2024.,,,,29-Jan-2024 15:47:46,00:00:07,2024-01-30 15:47:39,767.9,764.35,-0.4622997786170015
