,symbol,sm_name,desc,an_dt,t_date,open,adj_close,intraday_return
0,CASTROLIND,Castrol India Limited,Record Date,2024-02-01 20:31:27,2024-02-02 20:31:27,196.75,198.4,0.8386277001270677
1,ORBTEXP,Orbit Exports Limited,Record Date,2024-02-01 19:32:33,2024-02-02 19:32:33,200.0,199.75,-0.125
2,TNPL,Tamil Nadu Newsprint & Papers Limited,Record Date,2024-02-01 19:29:02,2024-02-02 19:29:02,298.0,293.7,-1.442953020134232
3,MINDACORP,Minda Corporation Limited,Record Date,2024-02-01 19:08:42,2024-02-02 19:08:42,406.75,404.95,-0.4425322679778762
4,TORNTPOWER,Torrent Power Limited,Record Date,2024-02-01 19:06:57,2024-02-02 19:06:57,1065.0,1064.3,-0.0657276995305207
5,APTUS,Aptus Value Housing Finance India Limited,Record Date,2024-02-01 18:37:54,2024-02-02 18:37:54,380.0,370.05,-2.618421052631576
6,ALKEM,Alkem Laboratories Limited,Record Date,2024-02-01 17:38:09,2024-02-02 17:38:09,4875.0,4917.7,0.8758974358974322
14,STEELCAS,Steelcast Limited,Record Date,2024-01-31 18:48:11,2024-02-01 18:48:11,675.05,689.75,2.1776164728538694
15,IRB,IRB Infrastructure Developers Limited,Record Date,2024-01-31 18:26:32,2024-02-01 18:26:32,68.8,65.01,-5.508720930232546
16,KOTARISUG,Kothari Sugars And Chemicals Limited,Record Date,2024-01-31 17:50:27,2024-02-01 17:50:27,59.3,57.1,-3.709949409780769
17,KOTHARIPET,Kothari Petrochemicals Limited,Record Date,2024-01-31 17:39:06,2024-02-01 17:39:06,151.0,152.6,1.0596026490066188
18,AJANTPHARM,Ajanta Pharma Limited,Record Date,2024-01-31 17:11:22,2024-02-01 17:11:22,2300.0,2156.13,-6.255217391304343
19,GESHIP,The Great Eastern Shipping Company Limited,Record Date,2024-01-31 16:26:40,2024-02-01 16:26:40,979.95,987.7,0.7908566763610388
20,JKPAPER,JK Paper Limited,Record Date,2024-01-31 15:38:42,2024-02-01 15:38:42,440.0,429.95,-2.284090909090912
21,SUNDARMHLD,Sundaram Finance Holdings Limited,Record Date,2024-01-31 15:15:30,2024-02-01 15:15:30,197.4,185.35,-6.104356636271535
28,TRIVENI,Triveni Engineering & Industries Limited,Record Date,2024-01-30 21:52:51,2024-01-31 21:52:51,330.0,342.25,3.712121212121212
